Date,Transaction Description,Category,Amount,Type,Month,Year,Day_of_Week,Is_Weekend,Cumulative_Monthly_Expense,Expense_Category_Ratio,Transaction_Type,Absolute_Amount
2020-05-06,Kid put memory soldier.,Utilities,123.19,Expense,5,2020,Wednesday,False,2579.35,0.000838974795818706,Income,123.19
2020-05-06,Exist professional.,Utilities,146.36,Expense,5,2020,Wednesday,False,2725.71,0.000996772068479794,Income,146.36
2020-05-07,Stand seem.,Investment,3807.0,Income,5,2020,Thursday,False,6532.71,0.010480327706385649,Income,3807.0
2020-05-11,Southern challenge animal.,Investment,825.0,Income,5,2020,Monday,False,7357.71,0.0022711506061907434,Income,825.0
2020-05-12,Sure authority increase picture create.,Shopping,1318.17,Expense,5,2020,Tuesday,False,8675.880000000001,0.008974423128966867,Income,1318.17
2020-05-13,Hundred challenge reach throughout.,Health & Fitness,1870.07,Expense,5,2020,Wednesday,False,10545.95,0.012879796873232967,Income,1870.07
2020-05-14,Despite sound receive let.,Health & Fitness,484.99,Expense,5,2020,Thursday,False,11030.94,0.0033402881633036504,Income,484.99
2020-05-15,True building card.,Travel,919.88,Expense,5,2020,Friday,False,11950.82,0.005427091409274422,Income,919.88
2020-05-16,Write other wear through partner.,Rent,28.54,Expense,5,2020,Saturday,True,11979.36,0.00017609089202253348,Income,28.54
2020-05-17,Store natural today season.,Rent,155.79,Expense,5,2020,Sunday,True,12135.15,0.0009612193436646983,Income,155.79
2020-05-19,Else easy point she.,Travel,273.59,Expense,5,2020,Tuesday,False,12408.74,0.001614121340461135,Income,273.59
2020-05-20,Phone ever back experience.,Rent,1759.75,Expense,5,2020,Wednesday,False,14168.49,0.01085760151494931,Income,1759.75
2020-05-21,Floor music catch discuss.,Utilities,881.99,Expense,5,2020,Thursday,False,15050.48,0.006006716293239228,Income,881.99
2020-05-25,Ask imagine my.,Travel,1227.24,Expense,5,2020,Monday,False,16277.72,0.007240448385787213,Income,1227.24
2020-05-27,Deal information.,Food & Drink,1339.05,Expense,5,2020,Wednesday,False,17616.77,0.008395645738045946,Income,1339.05
2020-05-28,Task she.,Rent,1878.47,Expense,5,2020,Thursday,False,19495.24,0.01159010013796666,Income,1878.47
2020-05-29,Accept goal send table.,Investment,1376.0,Income,5,2020,Friday,False,20871.24,0.003788003920143592,Income,1376.0
2020-05-30,Section national owner determine detail.,Utilities,551.97,Expense,5,2020,Saturday,True,21423.21,0.00375914374582394,Income,551.97
2020-05-31,Ahead from quickly identify.,Health & Fitness,415.16,Expense,5,2020,Sunday,True,21838.37,0.002859345623367788,Income,415.16
2020-05-31,Try wonder move trade.,Travel,1015.76,Expense,5,2020,Sunday,True,22854.13,0.005992762501505182,Income,1015.76
2020-06-01,Base investment.,Food & Drink,193.67,Expense,6,2020,Monday,False,193.67,0.0012142822972162042,Income,193.67
2020-06-02,Anyone here deep.,Travel,97.73,Expense,6,2020,Tuesday,False,291.4,0.0005765856888163556,Income,97.73
2020-06-05,Seven here sell story.,Utilities,1277.86,Expense,6,2020,Friday,False,1569.2599999999998,0.008702754546512636,Income,1277.86
2020-06-06,Like see.,Salary,1107.84,Expense,6,2020,Saturday,True,2677.1,0.007432496575895039,Income,1107.84
2020-06-07,Difference attention whatever american.,Food & Drink,232.63,Expense,6,2020,Sunday,True,2909.73,0.0014585557432819,Income,232.63
2020-06-08,Current after charge.,Utilities,1095.72,Expense,6,2020,Monday,False,4005.45,0.007462305895563541,Income,1095.72
2020-06-09,Prove nor design record.,Utilities,865.28,Expense,6,2020,Tuesday,False,4870.73,0.005892914289520334,Income,865.28
2020-06-09,Paper white responsibility.,Other,826.0,Income,6,2020,Tuesday,False,5696.73,0.002227405719524856,Income,826.0
2020-06-10,Blue agent find.,Entertainment,1367.31,Expense,6,2020,Wednesday,False,7064.04,0.009228263508359943,Income,1367.31
2020-06-10,Walk cup option store.,Health & Fitness,1562.43,Expense,6,2020,Wednesday,False,8626.47,0.010760977411885858,Income,1562.43
2020-06-11,Recent feeling.,Shopping,1947.94,Expense,6,2020,Thursday,False,10574.41,0.013262051017577185,Income,1947.94
2020-06-11,Site girl into have media.,Entertainment,1730.57,Expense,6,2020,Thursday,False,12304.98,0.011679981847322456,Income,1730.57
2020-06-12,Support state.,Utilities,1764.02,Expense,6,2020,Friday,False,14069.0,0.012013705003004414,Income,1764.02
2020-06-14,Whether player stock religious.,Other,3872.0,Income,6,2020,Sunday,True,17941.0,0.010441301387409495,Income,3872.0
2020-06-15,Safe whole establish.,Entertainment,540.94,Expense,6,2020,Monday,False,18481.94,0.0036509181255254685,Income,540.94
2020-06-18,Let stay or focus.,Rent,771.26,Expense,6,2020,Thursday,False,19253.2,0.004758649662974743,Income,771.26
2020-06-18,Everything late.,Other,2322.0,Income,6,2020,Thursday,False,21575.2,0.00626154489193307,Income,2322.0
2020-06-18,Particular her agreement surface consider.,Other,3364.0,Income,6,2020,Thursday,False,24939.2,0.00907141990373077,Income,3364.0
2020-06-19,Something future they red.,Entertainment,453.62,Expense,6,2020,Friday,False,25392.82,0.003061577032759387,Income,453.62
2020-06-19,Act way beat result major.,Shopping,663.24,Expense,6,2020,Friday,False,26056.06,0.004515499818730501,Income,663.24
2020-06-21,Position make society behavior.,Travel,708.78,Expense,6,2020,Sunday,True,26764.84,0.004181647442128891,Income,708.78
2020-06-21,Reality fill ok list.,Health & Fitness,1879.08,Expense,6,2020,Sunday,True,28643.92,0.0129418517534395,Income,1879.08
2020-06-22,International second former reflect.,Other,1962.0,Income,6,2020,Monday,False,30605.92,0.0052907627381449975,Income,1962.0
2020-06-22,Edge building court.,Travel,86.13,Expense,6,2020,Monday,False,30692.05,0.0005081482183337021,Income,86.13
2020-06-24,Week real course school everybody.,Health & Fitness,1459.8,Expense,6,2020,Wednesday,False,32151.85,0.010054130313595474,Income,1459.8
2020-06-30,Executive beyond create dinner conference.,Rent,776.54,Expense,6,2020,Tuesday,False,32928.39,0.00479122709499573,Income,776.54
2020-06-30,Call animal approach factor want.,Travel,98.33,Expense,6,2020,Tuesday,False,33026.72,0.0005801255579792515,Income,98.33
2020-07-02,Their off.,Entertainment,734.8,Expense,7,2020,Thursday,False,734.8,0.004959320143890476,Income,734.8
2020-07-03,Key continue anything wait.,Other,3071.0,Income,7,2020,Friday,False,3805.8,0.008281311095231033,Income,3071.0
2020-07-04,State husband.,Rent,1442.31,Expense,7,2020,Saturday,True,5248.110000000001,0.008899006814051166,Income,1442.31
2020-07-05,Picture approach chance none fight.,Travel,1337.12,Expense,7,2020,Sunday,True,6585.23,0.007888716425152209,Income,1337.12
2020-07-06,Newspaper indicate other.,Travel,1113.28,Expense,7,2020,Monday,False,7698.51,0.006568109236114524,Income,1113.28
2020-07-06,Herself training father open investment.,Other,1925.0,Income,7,2020,Monday,False,9623.51,0.005190987905672334,Income,1925.0
2020-07-08,Art whether between several personal.,Travel,818.09,Expense,7,2020,Wednesday,False,10441.6,0.004826552605789137,Income,818.09
2020-07-11,Church community.,Travel,580.96,Expense,7,2020,Saturday,True,11022.56,0.0034275373147933078,Income,580.96
2020-07-12,Able late order.,Health & Fitness,935.33,Expense,7,2020,Sunday,True,11957.89,0.006441930200174856,Income,935.33
2020-07-12,Discuss religious.,Entertainment,1027.24,Expense,7,2020,Sunday,True,12985.130000000001,0.006933059369365885,Income,1027.24
2020-07-13,Reach under.,Utilities,1321.11,Expense,7,2020,Monday,False,14306.24,0.008997304915204566,Income,1321.11
2020-07-17,Boy different chance enter.,Health & Fitness,195.84,Expense,7,2020,Friday,False,14502.08,0.0013488155093948058,Income,195.84
2020-07-20,Arrive society.,Entertainment,1348.86,Expense,7,2020,Monday,False,15850.94,0.00910374056789345,Income,1348.86
2020-07-21,Keep light fight.,Entertainment,303.23,Expense,7,2020,Tuesday,False,16154.17,0.0020465632107129956,Income,303.23
2020-07-21,Matter management ball.,Other,1096.0,Income,7,2020,Tuesday,False,17250.17,0.0029554923348659107,Income,1096.0
2020-07-22,Same page ago director.,Entertainment,1439.51,Expense,7,2020,Wednesday,False,18689.68,0.009715556532841289,Income,1439.51
2020-07-22,Week yourself public especially american.,Shopping,495.53,Expense,7,2020,Wednesday,False,19185.21,0.003373689200252586,Income,495.53
2020-07-22,Million kind everything young.,Food & Drink,1786.39,Expense,7,2020,Wednesday,False,20971.6,0.011200401471183225,Income,1786.39
2020-07-23,Why like impact fly.,Rent,1559.06,Expense,7,2020,Thursday,False,22530.66,0.009619350599742503,Income,1559.06
2020-07-24,Form really explain.,Salary,109.93,Expense,7,2020,Friday,False,22640.59,0.0007375201731189899,Income,109.93
2020-07-28,Already because education break significant.,Rent,918.36,Expense,7,2020,Tuesday,False,23558.95,0.0056662519831049,Income,918.36
2020-07-28,Price my.,Health & Fitness,1900.58,Expense,7,2020,Tuesday,False,25459.53,0.01308992943650725,Income,1900.58
2020-07-29,Could gun.,Shopping,1662.83,Expense,7,2020,Wednesday,False,27122.36,0.01132095254143242,Income,1662.83
2020-07-30,Kind appear environment capital explain.,Utilities,1489.87,Expense,7,2020,Thursday,False,28612.23,0.01014663023822076,Income,1489.87
2020-07-31,Ahead picture son.,Travel,1506.04,Expense,7,2020,Friday,False,30118.27,0.00888530759014616,Income,1506.04
2020-08-01,Nearly need behavior.,Travel,1533.97,Expense,8,2020,Saturday,True,1533.97,0.009050088499678963,Income,1533.97
2020-08-01,Water positive child usually.,Entertainment,556.45,Expense,8,2020,Saturday,True,2090.42,0.0037555983860477074,Income,556.45
2020-08-01,Relate indeed lot line lead.,Other,2420.0,Income,8,2020,Saturday,True,4510.42,0.006525813367130934,Income,2420.0
2020-08-02,Course out second carry.,Health & Fitness,1787.12,Expense,8,2020,Sunday,True,6297.54,0.012308492509955296,Income,1787.12
2020-08-03,Significant take future.,Investment,2394.0,Income,8,2020,Monday,False,8691.54,0.0065904661226916855,Income,2394.0
2020-08-04,Star executive fear.,Utilities,1415.77,Expense,8,2020,Tuesday,False,10107.31,0.009641978623883832,Income,1415.77
2020-08-04,Your majority chance mrs generation.,Other,3210.0,Income,8,2020,Tuesday,False,13317.31,0.008656140871276983,Income,3210.0
2020-08-04,Help usually thank wonder draw.,Shopping,133.91,Expense,8,2020,Tuesday,False,13451.22,0.0009116919678038136,Income,133.91
2020-08-05,Task improve fish.,Shopping,1810.63,Expense,8,2020,Wednesday,False,15261.85,0.012327211019823906,Income,1810.63
2020-08-05,History professional star wonder.,Food & Drink,1714.9,Expense,8,2020,Wednesday,False,16976.75,0.010752169729416372,Income,1714.9
2020-08-06,Call whole.,Shopping,959.19,Expense,8,2020,Thursday,False,17935.94,0.006530399660949444,Income,959.19
2020-08-08,Them key.,Travel,1509.42,Expense,8,2020,Saturday,True,19445.36,0.00890524885309714,Income,1509.42
2020-08-08,Address century that wide.,Shopping,1081.06,Expense,8,2020,Saturday,True,20526.420000000002,0.007360120369755737,Income,1081.06
2020-08-09,Sit enter perhaps however.,Entertainment,981.58,Expense,8,2020,Sunday,True,21508.0,0.00662489040125206,Income,981.58
2020-08-13,System teacher here first.,Salary,67.76,Expense,8,2020,Thursday,False,21575.760000000002,0.0004546017186440713,Income,67.76
2020-08-14,Along attention piece tv young.,Shopping,1451.12,Expense,8,2020,Friday,False,23026.88,0.009879579182432006,Income,1451.12
2020-08-16,Within set region beyond.,Utilities,1961.64,Expense,8,2020,Sunday,True,24988.52,0.0133595788494992,Income,1961.64
2020-08-17,Tough animal someone.,Shopping,1187.87,Expense,8,2020,Monday,False,26176.39,0.008087308922374102,Income,1187.87
2020-08-18,Hear certainly most not.,Rent,1289.07,Expense,8,2020,Tuesday,False,27465.46,0.007953520889260239,Income,1289.07
2020-08-19,Company participant him.,Other,1988.0,Income,8,2020,Wednesday,False,29453.46,0.0053608747825852465,Income,1988.0
2020-08-20,Tree central leave effect.,Other,3181.0,Income,8,2020,Thursday,False,32634.46,0.008577938975555166,Income,3181.0
2020-08-21,Together let.,Health & Fitness,681.63,Expense,8,2020,Friday,False,33316.09,0.004694613539975395,Income,681.63
2020-08-21,Citizen kid generation onto police.,Travel,1506.5,Expense,8,2020,Friday,False,34822.59,0.008888021489837713,Income,1506.5
2020-08-22,Lead few yourself.,Travel,1671.47,Expense,8,2020,Saturday,True,36494.06,0.009861308516175933,Income,1671.47
2020-08-22,Down occur.,Food & Drink,1999.82,Expense,8,2020,Saturday,True,38493.88,0.012538576050079566,Income,1999.82
2020-08-26,Yeah far within.,Rent,1564.65,Expense,8,2020,Wednesday,False,40058.53,0.009653840721901088,Income,1564.65
2020-08-27,Account ten sing.,Food & Drink,1899.73,Expense,8,2020,Thursday,False,41958.26,0.011911026532196726,Income,1899.73
2020-08-27,Seat strategy total simply discover.,Investment,1748.0,Income,8,2020,Thursday,False,43706.26,0.004812086375298691,Income,1748.0
2020-08-29,Pm per question.,Salary,1342.22,Expense,8,2020,Saturday,True,45048.48,0.009004951576128177,Income,1342.22
2020-08-30,Best physical always small almost.,Entertainment,935.42,Expense,8,2020,Sunday,True,45983.9,0.006313346827705537,Income,935.42
2020-08-31,Bed far section.,Health & Fitness,343.9,Expense,8,2020,Monday,False,46327.8,0.002368554195674396,Income,343.9
2020-09-01,Car much will.,Rent,1557.81,Expense,9,2020,Tuesday,False,1557.81,0.009611638139510261,Income,1557.81
2020-09-05,Tree store either station.,Other,1385.0,Income,9,2020,Saturday,True,2942.81,0.0037348146749902247,Income,1385.0
2020-09-05,Second full boy.,Travel,1155.84,Expense,9,2020,Saturday,True,4098.65,0.006819203955402604,Income,1155.84
2020-09-06,Senior difficult put.,Shopping,799.34,Expense,9,2020,Sunday,True,4897.99,0.0054421018411194115,Income,799.34
2020-09-07,Hand so add mr lawyer.,Rent,1188.27,Expense,9,2020,Monday,False,6086.26,0.007331588096132301,Income,1188.27
2020-09-08,Herself police he push likely.,Entertainment,212.78,Expense,9,2020,Tuesday,False,6299.04,0.0014360970879382356,Income,212.78
2020-09-11,Trip determine as statement.,Rent,1594.49,Expense,9,2020,Friday,False,7893.53,0.00983795257256515,Income,1594.49
2020-09-11,Bring animal also you.,Food & Drink,700.94,Expense,9,2020,Friday,False,8594.47,0.004394790279396532,Income,700.94
2020-09-11,Doctor mr.,Health & Fitness,147.22,Expense,9,2020,Friday,False,8741.69,0.0010139533256388036,Income,147.22
2020-09-16,He we recent music.,Food & Drink,1700.66,Expense,9,2020,Wednesday,False,10442.35,0.010662887032497083,Income,1700.66
2020-09-17,Those pressure street.,Rent,872.71,Expense,9,2020,Thursday,False,11315.06,0.005384592935423448,Income,872.71
2020-09-17,Allow have kitchen.,Salary,1417.54,Expense,9,2020,Thursday,False,12732.6,0.009510273321232537,Income,1417.54
2020-09-18,Between rate name within.,Travel,1235.67,Expense,9,2020,Friday,False,13968.27,0.0072901835475259,Income,1235.67
2020-09-18,Huge couple.,Salary,935.1,Expense,9,2020,Friday,False,14903.37,0.006273584225266692,Income,935.1
2020-09-22,Begin deep police wife.,Travel,651.39,Expense,9,2020,Tuesday,False,15554.76,0.0038430589566979013,Income,651.39
2020-09-22,During call north attention.,Rent,565.07,Expense,9,2020,Tuesday,False,16119.83,0.0034864639227460757,Income,565.07
2020-09-22,Only spend do.,Salary,1144.0,Expense,9,2020,Tuesday,False,17263.83,0.00767509395113367,Income,1144.0
2020-09-23,Able teach certain candidate economy.,Health & Fitness,67.11,Expense,9,2020,Wednesday,False,17330.94,0.00046220899119426786,Income,67.11
2020-09-23,Produce ago.,Utilities,980.22,Expense,9,2020,Wednesday,False,18311.16,0.006675703176860232,Income,980.22
2020-09-25,So draw food company.,Travel,687.27,Expense,9,2020,Friday,False,18998.43,0.004054743132639075,Income,687.27
2020-09-27,Score moment second.,Travel,1116.02,Expense,9,2020,Sunday,True,20114.45,0.006584274638625081,Income,1116.02
2020-09-27,Sing message board mean.,Entertainment,180.37,Expense,9,2020,Sunday,True,20294.82,0.0012173551637908618,Income,180.37
2020-09-27,Feeling poor all your suggest.,Salary,1114.8,Expense,9,2020,Sunday,True,21409.62,0.007479191203429909,Income,1114.8
2020-09-29,Make travel.,Salary,1295.35,Expense,9,2020,Tuesday,False,22704.97,0.008690500830070804,Income,1295.35
2020-09-30,Focus chance.,Food & Drink,195.18,Expense,9,2020,Wednesday,False,22900.15,0.0012237497742069435,Income,195.18
2020-10-01,Person one republican.,Entertainment,619.35,Expense,10,2020,Thursday,False,619.35,0.004180123749480902,Income,619.35
2020-10-03,Most law painting between reduce.,Salary,1111.41,Expense,10,2020,Saturday,True,1730.7600000000002,0.007456447699501287,Income,1111.41
2020-10-04,Involve thousand including.,Health & Fitness,710.1,Expense,10,2020,Sunday,True,2440.86,0.004890695941693482,Income,710.1
2020-10-07,Indeed believe interview professor.,Travel,510.29,Expense,10,2020,Wednesday,False,2951.15,0.0030105997252235558,Income,510.29
2020-10-07,Rather listen before.,Investment,3084.0,Income,10,2020,Wednesday,False,6035.15,0.008489973902414853,Income,3084.0
2020-10-07,It season.,Investment,2069.0,Income,10,2020,Wednesday,False,8104.15,0.005695770429343817,Income,2069.0
2020-10-08,News only no.,Salary,560.23,Expense,10,2020,Thursday,False,8664.380000000001,0.0037585820666465176,Income,560.23
2020-10-08,Improve them wait.,Travel,1961.22,Expense,10,2020,Thursday,False,10625.6,0.01157077033275773,Income,1961.22
2020-10-10,Why outside.,Travel,462.69,Expense,10,2020,Saturday,True,11088.29,0.0027297701049671503,Income,462.69
2020-10-10,Official defense.,Investment,4875.0,Income,10,2020,Saturday,True,15963.29,0.01342043540021803,Income,4875.0
2020-10-10,Suggest glass news.,Investment,946.0,Income,10,2020,Saturday,True,16909.29,0.0026042526950987195,Income,946.0
2020-10-12,Off southern suddenly.,Utilities,1279.36,Expense,10,2020,Monday,False,18188.65,0.008712970166236055,Income,1279.36
2020-10-14,Participant price.,Rent,1746.71,Expense,10,2020,Wednesday,False,19935.36,0.010777145129806568,Income,1746.71
2020-10-15,Congress reflect.,Salary,962.64,Expense,10,2020,Thursday,False,20898.0,0.006458350035943458,Income,962.64
